Run,Gen,Rule,Fitness,anchoring_bias,attentional_bias,cognitive_dissonance,confirmation_bias,conformity_bias,egocentric_bias,recency_bias
0,5,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.395372052,0,0,1,0,0,0,0
0,5,( exec-homogenous (( egocentric-bias  ) )  ) ,0.361136807,0,0,0,0,0,1,0
0,5,( exec-homogenous (( egocentric-bias  ) )  ) ,0.376122785,0,0,0,0,0,1,0
0,5,( exec-homogenous (( egocentric-bias  ) )  ) ,0.382510495,0,0,0,0,0,1,0
0,5,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.398244233,0,0,1,0,0,0,0
0,5,( exec-homogenous (( egocentric-bias  ) )  ) ,0.370247323,0,0,0,0,0,1,0
0,5,( exec-homogenous (( attentional-bias  ) )  ) ,0.379687448,0,1,0,0,0,0,0
0,5,( exec-two-species (( egocentric-bias  ) ) (( cognitive-dissonance  ) )  ) ,0.368629272,0,0,1,0,0,1,0
0,6,( exec-homogenous (( egocentric-bias  ) )  ) ,0.408625158,0,0,0,0,0,1,0
0,6,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.383800826,0,0,1,0,0,0,0
0,6,( exec-two-species (( attentional-bias  ) ) (( egocentric-bias  ) )  ) ,0.379118552,0,1,0,0,0,1,0
0,6,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.389446044,0,0,1,0,0,0,0
0,6,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.386535894,0,0,1,0,0,0,0
0,6,( exec-two-species (( egocentric-bias  ) ) (( cognitive-dissonance  ) )  ) ,0.376451946,0,0,1,0,0,1,0
0,6,( exec-homogenous (( conformity-bias  ) )  ) ,5.55E-17,0,0,0,0,1,0,0
0,6,( exec-homogenous (( egocentric-bias  ) )  ) ,0.375575211,0,0,0,0,0,1,0
0,6,( exec-homogenous (( egocentric-bias  ) )  ) ,0.416853817,0,0,0,0,0,1,0
0,6,( exec-two-species (( egocentric-bias  ) ) (( cognitive-dissonance  ) )  ) ,0.35910682,0,0,1,0,0,1,0
0,6,( exec-homogenous (( egocentric-bias  ) )  ) ,0.394535069,0,0,0,0,0,1,0
0,6,( exec-homogenous (( egocentric-bias  ) )  ) ,0.380001379,0,0,0,0,0,1,0
0,6,( exec-homogenous (( egocentric-bias  ) )  ) ,0.36329828,0,0,0,0,0,1,0
0,6,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.387422852,0,0,1,0,0,0,0
0,6,( exec-homogenous (( attentional-bias  ) )  ) ,0.370227673,0,1,0,0,0,0,0
0,6,( exec-homogenous (( egocentric-bias  ) )  ) ,0.370591135,0,0,0,0,0,1,0
0,6,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.390252372,0,0,1,0,0,0,0
0,6,( exec-homogenous (( egocentric-bias  ) )  ) ,0.381551104,0,0,0,0,0,1,0
0,6,( exec-homogenous (( egocentric-bias  ) )  ) ,0.366164133,0,0,0,0,0,1,0
0,6,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.381674572,0,0,1,0,0,0,0
0,7,( exec-homogenous (( egocentric-bias  ) )  ) ,0.393692866,0,0,0,0,0,1,0
0,7,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.385707254,0,0,1,0,0,0,0
0,7,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.386337936,0,0,1,0,0,0,0
0,7,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.388752485,0,0,1,0,0,0,0
0,7,( exec-homogenous (( egocentric-bias  ) )  ) ,0.407148307,0,0,0,0,0,1,0
0,7,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.391057757,0,0,1,0,0,0,0
0,7,( exec-homogenous (( egocentric-bias  ) )  ) ,0.365348043,0,0,0,0,0,1,0
0,7,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.371395156,0,0,1,0,0,0,0
0,7,( exec-two-species (( egocentric-bias  ) ) (( cognitive-dissonance  ) )  ) ,0.368751902,0,0,1,0,0,1,0
0,7,( exec-homogenous (( attentional-bias  ) )  ) ,0.382470297,0,1,0,0,0,0,0
0,7,( exec-homogenous (( egocentric-bias  ) )  ) ,0.391173251,0,0,0,0,0,1,0
0,7,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.396823321,0,0,1,0,0,0,0
0,7,( exec-homogenous (( egocentric-bias  ) )  ) ,0.371309552,0,0,0,0,0,1,0
0,7,( exec-homogenous (( confirmation-bias  ) )  ) ,8.33E-17,0,0,0,1,0,0,0
0,7,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.360139768,0,0,1,0,0,0,0
0,7,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.377652014,0,0,1,0,0,0,0
0,7,( exec-homogenous (( egocentric-bias  ) )  ) ,0.348814999,0,0,0,0,0,1,0
0,7,( exec-homogenous (( egocentric-bias  ) )  ) ,0.3795735,0,0,0,0,0,1,0
